Name,Address,City,State,Postal_Code,Website,Phone,Email_Address,urls,category_informational
"Siam Thai Massage and Spa - Honolulu, HI","1750 Kalakaua Ave,#2603",,,,siamthaimassage-spa.com,(808) 343-4910,,http://www.yelp.com/biz/siam-thai-massage-and-spa-honolulu?osq=spa,"Massage,Spas"
"Laka Skin Care & Spa - Kaka'ako - Honolulu, HI","320 Ward Ave,Ste 200",,,,lakaspa.com,(808) 397-5252,,http://www.yelp.com/biz/laka-skin-care-and-spa-honolulu-2?osq=spa,"Spas,Skin Care,Massage"
"Diamond Head Massage and Day Spa - Honolulu, HI",3144 Monsarrat Ave,,,,diamondheadmassageanddayspa.c…,(808) 387-2273,,http://www.yelp.com/biz/diamond-head-massage-and-day-spa-honolulu?osq=spa,"Massage,Day Spas,Massage Therapy,Garage Door Services,Women's Clothing,Men's Clothing,Property Services,Estate Agents"
"Aloha Sauna and Spa - Honolulu, HI",1724 Kalauokalani Way,,,,alohasauna.com,(808) 941-9494,,http://www.yelp.com/biz/aloha-sauna-and-spa-honolulu?osq=spa,"Spas,Saunas"
"Heaven On Earth Salon & Day Spa - Downtown - Honolulu, HI",1050 Alakea St,,,,heavenonearthhawaii.com,(808) 599-5501,,http://www.yelp.com/biz/heaven-on-earth-salon-and-day-spa-honolulu?osq=spa,"Day Spas,Hair Salons"
"Moana Lani Spa - Waikiki - Honolulu, HI",2365 Kalakaua Ave,,,,moanalanispa.com,(808) 237-2535,,http://www.yelp.com/biz/moana-lani-spa-honolulu?osq=spa,"Spas,Massage,Hair Salon"
"Rejuv - Kalihi - Honolulu, HI",1317 Mookaula St,,,,,(808) 590-4499,,http://www.yelp.com/biz/rejuv-honolulu-2?osq=spa,"Day Spas,Makeup Artists,Massage Therapy"
"Reneux Med and Day Spa - Ala Moana - Honolulu, HI","401 Kamakee St,2nd Fl",,,,reneuxmeddayspa.com,(808) 593-7844,,http://www.yelp.com/biz/reneux-med-and-day-spa-honolulu?osq=spa,"Spas,Laser Hair Removal,Skin Care"
"Pure Joy Day Spa - Honolulu, HI","705 S King St,Ste 100",,,,purejoydayspa.com,(808) 532-7873,,http://www.yelp.com/biz/pure-joy-day-spa-honolulu?osq=spa,"Day Spas,Massage"
"Ho’ala Salon and Spa - Ala Moana - Honolulu, HI","1450 Ala Moana Blvd,Ste 3201",,,,hoalasalonspa.com,(808) 947-6141,,http://www.yelp.com/biz/hoala-salon-and-spa-honolulu?osq=spa,"Day Spas,Hair Salons"
"New Esthetics Spa - Ala Moana - Honolulu, HI","Nauru Tower,1330 Ala Moana Blvd, 4th Fl",,,,newestheticsspa.com,(808) 593-9032,,http://www.yelp.com/biz/new-esthetics-spa-honolulu?osq=spa,"Skin Care,Waxing,Spas,Ice Cream & Frozen Yogurt"
"Nueve Salon & Spa - Kaka'ako - Honolulu, HI","614 Cooke St,Ste 205",,,,nuevesalon.com,(808) 597-1614,,http://www.yelp.com/biz/nueve-salon-and-spa-honolulu?osq=spa,"Spas,Hair Stylists,Eyelash Service"
"Spalani - Waikiki - Honolulu, HI","1833 Kalakaua Ave,Ste 1011",,,,spalani.com,(808) 291-0170,,http://www.yelp.com/biz/spalani-honolulu?osq=spa,Spas
"Lotus Day Spa - Downtown - Honolulu, HI","Nuuanu Sq,23 S Vineyard Blvd, Ste 304",,,,lotusdayspahawaii.com,(808) 536-5747,,http://www.yelp.com/biz/lotus-day-spa-honolulu?osq=spa,"Day Spas,Massage,Skin Care"
"Aisawan Thai Spa & Massage - Honolulu, HI","1750 Kalakaua Ave,Ste 3904",,,,aisawanspahi.com,(808) 688-7557,,http://www.yelp.com/biz/aisawan-thai-spa-and-massage-honolulu-2?osq=spa,"Massage,Massage Therapy,Spas"
"Na Hō’ola Spa - Waikiki - Honolulu, HI",2424 Kalakaua Ave,,,,nahoolaspawaikiki.com,(808) 237-6330,,http://www.yelp.com/biz/na-h%C5%8Dola-spa-honolulu-2?osq=spa,Day Spas
"Honua Therapeutic Massage - Waikiki - Honolulu, HI","Waikiki Banyan,201 Ohua Ave, Fl 11",,,,honuatherapy.com/index.php?la…,(877) 754-7839,,http://www.yelp.com/biz/honua-therapeutic-massage-honolulu?osq=spa,"Massage,Spas,Massage Therapy"
"The Spa at the Modern Honolulu - Waikiki - Honolulu, HI",1775 Ala Moana Blvd,,,,themodernhonolulu.com/spa-hon…,(808) 943-5882,,http://www.yelp.com/biz/the-spa-at-the-modern-honolulu-honolulu-2?osq=spa,"Massage,Day Spas,Nail Salons"
"LaáKea Spa Hawai’i - Waikiki - Honolulu, HI",2169 Kalia Rd,,,,laakeaspahawaii.com,(808) 926-2882,,http://www.yelp.com/biz/la%C3%A1kea-spa-hawaii-honolulu?osq=spa,"Spas,Skin Care,Hair Salon"
"Abhasa Waikiki Spa - Waikiki - Honolulu, HI","Royal Hawaiian,2259 Kalakaua Ave",,,,abhasa.com,(808) 922-8200,,http://www.yelp.com/biz/abhasa-waikiki-spa-honolulu?osq=spa,Spas
"Luxz Esthetics - Downtown - Honolulu, HI","Century Square,1188 Bishop St, Ste 1602",,,,luxz.org,(808) 294-6578,,http://www.yelp.com/biz/luxz-esthetics-honolulu?osq=spa,"Day Spas,Massage,Hair Removal"
"Mermaid Cove Spa & Salon - Waikiki - Honolulu, HI","134 Kapahulu Ave,Ste 616",,,,,(808) 772-7325,,http://www.yelp.com/biz/mermaid-cove-spa-and-salon-honolulu?osq=spa,Spas
"Cut-Mart - Honolulu, HI","1750 Kalakaua Ave. #1209,Ste 1209",,,,,(808) 799-2133,,http://www.yelp.com/biz/cut-mart-honolulu?osq=spa,"Hair Salon,Spas"
"Organique Beauty House - Ala Moana - Honolulu, HI","1441 Kapiolani Blvd,Ste 1320",,,,organiquehawaii.com,(808) 946-4898,,http://www.yelp.com/biz/organique-beauty-house-honolulu?osq=spa,Day Spas
"Body Wraps by the Sea - Hawaii Kai - Honolulu, HI",6600 Kalanianaole Hwy,,,,bodywrapsbythesea.info,(808) 694-0355,,http://www.yelp.com/biz/body-wraps-by-the-sea-honolulu-3?osq=spa,"Spas,Skin Care,Massage"
"Aloha Pools and Spas - Honolulu, HI",1476 Alencastre St,,,,,(808) 737-7587,,http://www.yelp.com/biz/aloha-pools-and-spas-honolulu?osq=spa,Day Spas
