Name,Address,City,State,Postal_Code,Website,Phone,Email_Address,urls,category_informational,
"A New Day Spa - Holladay - Salt Lake City, UT","3975 Highland Dr,Ste 6",,,,anewdayspautah.com,(801) 272-3900,,http://www.yelp.com/biz/a-new-day-spa-salt-lake-city?osq=spa,Day Spas,
"Angel Nails - West Valley City - Salt Lake City, UT",5610 W 4100 S,,,,angelsnailswvc.com,(801) 966-8843,,http://www.yelp.com/biz/angel-nails-salt-lake-city?osq=spa,"Nail Salons,Day Spas,Eyelash Service",
"Arrow Day Spa - Sandy - Sandy, UT",142 E Main St,,,,arrowdayspa.com,(801) 448-8204,,http://www.yelp.com/biz/arrow-day-spa-sandy?osq=spa,Day Spas,
"Avenues Day Spa - The Avenues - Salt Lake City, UT",455 E 7th Ave,,,,avenuesdayspa.com,(801) 519-8181,,http://www.yelp.com/biz/avenues-day-spa-salt-lake-city?osq=spa,"Spas,Massage,Hair Removal",
"Azure Day Spa - Salt Lake City - Salt Lake City, UT",1140 E Brickyard Rd,,,,azuredayspa.net,(801) 915-1277,,http://www.yelp.com/biz/azure-day-spa-salt-lake-city?osq=spa,Day Spas,
"Balance Wellness Spa - Holladay - Holladay, UT","2290 E 4500 S,Ste 225",,,,balancewellnessspa.net,(801) 230-1928,,http://www.yelp.com/biz/balance-wellness-spa-holladay?osq=spa,"Day Spas,Eyelash Service,Massage",
"Basalt Day Spa - Salt Lake City - Salt Lake City, UT",402 E 900 S,,,,basaltdayspa.com,(801) 532-2991,,http://www.yelp.com/biz/basalt-day-spa-salt-lake-city?osq=spa,Day Spas,
"Beat That Face Beauty Co. - Sandy - Sandy, UT",9194 South Benson Way,,,,beatthatfacebeautyco.com,(801) 897-8656,,http://www.yelp.com/biz/beat-that-face-beauty-co-sandy-2?osq=spa,"Makeup Artists,Hair Stylists,Day Spas",
"Beaute Marque Studio - Millcreek - Salt Lake City, UT","1321 E 3300 S,Ste 15",,,,beautemarque.com,(801) 466-9984,,http://www.yelp.com/biz/beaute-marque-studio-salt-lake-city?osq=spa,Spas,
"Bella ‘es Day Spa - Taylorsville - Taylorsville, UT","5665 S Redwood Rd,Ste 3",,,,bellaesdayspa.com,(801) 637-1440,,http://www.yelp.com/biz/bella-es-day-spa-taylorsville?osq=spa,"Day Spas,Eyelash Service,Skin Care",
"Big City Brows and Beauty Spa - Salt Lake City, UT",,,,,bigcitybrows.com,(801) 970-5555,,http://www.yelp.com/biz/big-city-brows-and-beauty-spa-salt-lake-city?osq=spa,"Spas,Skin Care,Eyelash Service",
"Black Tie Salon & Day Spa - Millcreek - Salt Lake City, UT","4700 S 900 E,Suite 18",,,,blacktiesalonanddayspa.com,(801) 269-0152,,http://www.yelp.com/biz/black-tie-salon-and-day-spa-salt-lake-city?osq=spa,"Day Spas,Hair Salons",
"The Beauty Bar - Bountiful - Bountiful, UT",1025 S 500 W,,,,bountifulbeautybar.com,(801) 335-0395,,http://www.yelp.com/biz/the-beauty-bar-bountiful?osq=spa,"Massage,Skin Care,Day Spas",
